well,value
A1,-0.015889072225156786
B1,0.048675910647903775
C1,-0.041109728729344375
D1,-0.02547286757903855
E1,-0.030517013912573554
F1,-0.03808327099461761
G1,0.07238330070298549
H1,0.08902900615269504
A2,-0.06784365168263806
B2,-0.041109728729344375
C2,-0.022446409844312232
D2,0.042622920014964816
E2,0.013366961476646733
F2,0.02799490316406339
G2,-0.04211857302874822
H2,0.02749055617784668
A3,0.0037830909592795336
B3,-0.036065582395809925
C3,-0.013871383626349099
D3,0.036570004545511736
E3,0.00025221107485107197
F3,0.002269824510173324
G3,0.07137453156706641
H3,0.0648171187844262
A4,0.0007566332245529939
B4,-0.043631764314369215
C4,-0.015384650075454864
D4,-0.00025221107485096095
E4,0.042622920014964816
F4,-0.048675910647903664
G4,-0.021437565544907833
H4,-0.018915529959883548
A5,-0.030012591762871077
B5,-0.07137453156706686
C5,0.00277424665987569
D5,-0.007314046007193653
E5,-0.02597728972874047
F5,0.035056738096405526
G5,0.042622920014964816
H5,-0.00529635740838541
A6,0.01286253932694481
B6,-0.00781839299341025
C6,-0.06229508319940125
D6,-0.0017654775239572817
E6,0.008827237292814205
F6,-0.004287513108981567
G6,-0.036065582395809925
H6,-0.022446409844312232
A7,-0.0037830909592796447
B7,0.0007566332245529939
C7,-0.03858769314431998
D7,0.024464023279634706
E7,0.0012610553742549158
F7,0.01538457491196965
G7,0.02749055617784668
H7,0.054728826117356855
A8,-0.00025221107485096095
B8,-0.010340503741920415
C8,-0.04464060861377295
D8,0.0007566332245529939
E8,0.04817148849820185
F8,0.02295083199401371
G8,0.03808319583113229
H8,0.014375805776050576
A9,-0.015889072225156786
B9,0.030012591762871077
C9,-0.036570004545511736
D9,0.014880152762267729
E9,0.029508169613169155
F9,0.03203028036167921
G9,-0.029003822626952558
H9,0.050189101933524105
A10,0.016897841361075416
B10,-0.02698613402814476
C10,-0.015384650075454864
D10,0.04716264419879734
E10,-0.05069359924671146
F10,-0.03808327099461761
G10,0.016897841361075416
H10,-0.02749055617784668
A11,-0.0047919352586834885
B11,-0.05069359924671146
C11,0.06834799866885488
D11,-0.033039124661083163
E11,-0.041109728729344375
F11,-0.012358117177242778
G11,-0.022950831994014154
H11,0.04968475494730762
A12,0.001765402360471402
B12,0.005296357408385521
C12,0.048675910647903775
D12,0.00277424665987569
E12,0.02597728972874047
F12,-0.016897841361075305
G12,0.010844850728136901
H12,0.06633038523353196
