,1,2,3,4,5,6,7,8,9,10,11,12
A,-0.03033823667846125,-0.002322495999246943,0.006532198448427673,-0.002322495999246943,0.0014515708147138096,-0.02670926638093818,-0.04587022609100122,-0.031209161862994272,-0.04078968497876412,-0.024967329490395374,0.03222527008544174,-0.057482965651665885
B,-0.014515881190092506,0.00014518303791444254,0.01277403082102646,0.030047870602632365,-0.00014518303791444254,0.027725374603385644,0.030918882308642148,0.041225147571030574,0.024967329490395374,-0.03106397882507983,-0.027725374603385533,-0.02119317615495786
C,-0.0027580451129901595,-0.00420961592770408,0.021483542230786634,0.03178980749317528,0.014951343782358961,0.010741814376131753,-0.0014515708147139206,-0.015967452004806426,0.02322547912132933,-0.03788645682785963,-0.0162578180806352,-0.059515182096560704
D,0.05835389083619891,0.03861228549595497,0.028306020233566542,0.041370330608945016,-0.004790261557884978,-0.014370698152178174,-0.007838586225227151,0.00014518303791444254,0.0027580451129900485,-0.04354764357027763,0.0010161082224473539,0.051676595871333664
E,-0.013354589929730709,0.017854571933263452,0.04035422238649766,0.015241709858187846,0.004645078519970536,0.046886334313448685,-0.0018870334069803762,0.014515881190092506,-0.001306387776799478,0.03164462445526084,-0.06154739854145552,0.005225724150151434
F,0.001306474298276239,-0.017128743265168223,0.019886788378158382,-0.004790261557884978,0.0014515708147138096,-0.01553198941253997,-0.0018870334069803762,0.019306142747977484,-0.019306142747977484,0.0275801915654712,-0.007548220149398377,-0.003919249851875195
G,-0.022935113045500555,0.022354467415319768,0.014515881190092506,0.017854571933263452,-0.010306265262388536,0.01408041859782605,-0.01408041859782605,-0.04166061016329714,-0.009435340077855514,-0.02395122126794802,0.013790139043474037,-0.02540279208266194
H,0.01916095971006304,0.02119317615495797,-0.015822355488368745,-0.007548220149398377,0.0037741533354376244,0.016403001118549643,0.007983769263141482,-0.026273803788671612,0.005516090225980319,-0.016548097634987324,-0.019306142747977484,0.008854694447674616
