well,value
A1,0.6679999828338623
B1,0.6789000034332275
C1,0.6869999766349792
D1,0.7290999889373779
E1,0.6797000169754028
F1,0.6898000240325928
G1,0.6730999946594238
H1,0.7020999789237976
A2,0.6873000264167786
B2,0.6890000104904175
C2,0.6859999895095825
D2,0.715499997138977
E2,0.701200008392334
F2,0.6771000027656555
G2,0.7042999863624573
H2,0.703499972820282
A3,0.6934000253677368
B3,0.697700023651123
C3,0.7037000060081482
D3,0.7084000110626221
E3,0.71670001745224
F3,0.7026000022888184
G3,0.6988999843597412
H3,0.6779999732971191
A4,0.6873000264167786
B4,0.7095999717712402
C4,0.7107999920845032
D4,0.7174000144004822
E4,0.699400007724762
F4,0.6855999827384949
G4,0.701200008392334
H4,0.6837000250816345
A5,0.6898999810218811
B5,0.6887999773025513
C5,0.6991999745368958
D5,0.6855999827384949
E5,0.6920999884605408
F5,0.6898999810218811
G5,0.6818000078201294
H5,0.6915000081062317
A6,0.6704999804496765
B6,0.7080000042915344
C6,0.6963000297546387
D6,0.6790000200271606
E6,0.7211999893188477
F6,0.6782000064849854
G6,0.6985999941825867
H6,0.7002000212669373
A7,0.6572999954223633
B7,0.7102000117301941
C7,0.6879000067710876
D7,0.6834999918937683
E7,0.6876000165939331
F7,0.6876000165939331
G7,0.6791999936103821
H7,0.6944000124931335
A8,0.6674000024795532
B8,0.7172999978065491
C8,0.6779000163078308
D8,0.6890000104904175
E8,0.6988999843597412
F8,0.7021999955177307
G8,0.6601999998092651
H8,0.670799970626831
A9,0.6607999801635742
B9,0.7060999870300293
C9,0.7049000263214111
D9,0.6908000111579895
E9,0.6880000233650208
F9,0.675599992275238
G9,0.6823999881744385
H9,0.6927000284194946
A10,0.6717000007629395
B10,0.6675000190734863
C10,0.6628000140190125
D10,0.6589000225067139
E10,0.7106999754905701
F10,0.7078999876976013
G10,0.6723999977111816
H10,0.6775000095367432
A11,0.7110999822616577
B11,0.6697999835014343
C11,0.6776999831199646
D11,0.6895999908447266
E11,0.6464999914169312
F11,0.6837000250816345
G11,0.6984000205993652
H11,0.675599992275238
A12,0.6492999792098999
B12,0.6743000149726868
C12,0.6478999853134155
D12,0.7245000004768372
E12,0.6924999952316284
F12,0.6862000226974487
G12,0.6714000105857849
H12,0.6949999928474426
