,1,2,3,4,5,6,7,8,9,10,11,12
A,0.001254651564679632,0.009284825424394016,0.01530736233636465,-0.020326267740093718,0.0002509452701864312,-0.0248432078171974,-0.00426599480691725,0.016311143417110374,-0.045420346041225135,-0.026850695192436547,0.002258432645426023,-0.011794278126258884
B,0.031367635269540894,-0.03237141635028651,0.03186945102366123,-0.05094106719907476,-0.05495611673580569,-0.011292387585886132,-0.005269775887663086,-0.0027603979720512983,-0.004767885347290224,-0.02885825735392844,-0.026850695192436547,0.029360073108049
C,-0.011292387585886132,-0.017314924497855988,-0.002258507431677881,0.01530736233636465,-0.048933505037583314,0.03337512264477982,-0.00426599480691725,-0.018318705578601713,-0.007779228589527953,0.04190711225861454,0.07151813063685042,-0.002258507431677881
D,-0.05595989781655197,0.06700119055974652,0.07352569279834187,0.018820521332722606,-0.0007528358105592936,0.0358845753466448,-0.0594730568129096,0.0007527610243069915,-0.006775447508782229,0.01380176550149792,-0.027352585732809853,-0.006775447508782229
E,0.03036385418879517,-0.009786715964766879,-0.018318705578601713,-0.0027603979720512983,-0.04441656496047941,0.03287323210440696,0.00376410426654461,-0.010288606505139852,-0.04090340596412134,0.032371341564034095,0.012296093880379333,0.029861963648421863
F,-0.02885825735392844,-0.048933505037583314,0.01179420334000647,-0.005771666428035949,-0.027854476273182716,-0.030363854188794503,-0.033877087971405206,0.050940992412822794,-0.0002509452701863202,-0.053450445114686995,-0.0017566168913050184,-0.001254726350932156
G,0.08406524457366871,0.024843133030945097,-0.025345098357570373,0.0067753727225297045,-0.012797984420752084,0.03739017218151086,0.04742783341646484,0.0489335050375832,-0.02082815828046647,0.011292312799633608,0.05947298202665774,0.011292312799633608
H,0.09309912472787629,0.011292312799633608,0.06549559372488001,0.049937211332076625,0.04943532079170376,0.04090333117786882,0.04742783341646484,0.03437890372552599,0.0067753727225297045,0.006273482182156842,0.01179420334000647,0.08155579187180373
