well,value
A1,-0.03033823667846125
B1,-0.014515881190092506
C1,-0.0027580451129901595
D1,0.05835389083619891
E1,-0.013354589929730709
F1,0.001306474298276239
G1,-0.022935113045500555
H1,0.01916095971006304
A2,-0.002322495999246943
B2,0.00014518303791444254
C2,-0.00420961592770408
D2,0.03861228549595497
E2,0.017854571933263452
F2,-0.017128743265168223
G2,0.022354467415319768
H2,0.02119317615495797
A3,0.006532198448427673
B3,0.01277403082102646
C3,0.021483542230786634
D3,0.028306020233566542
E3,0.04035422238649766
F3,0.019886788378158382
G3,0.014515881190092506
H3,-0.015822355488368745
A4,-0.002322495999246943
B4,0.030047870602632365
C4,0.03178980749317528
D4,0.041370330608945016
E4,0.015241709858187846
F4,-0.004790261557884978
G4,0.017854571933263452
H4,-0.007548220149398377
A5,0.0014515708147138096
B5,-0.00014518303791444254
C5,0.014951343782358961
D5,-0.004790261557884978
E5,0.004645078519970536
F5,0.0014515708147138096
G5,-0.010306265262388536
H5,0.0037741533354376244
A6,-0.02670926638093818
B6,0.027725374603385644
C6,0.010741814376131753
D6,-0.014370698152178174
E6,0.046886334313448685
F6,-0.01553198941253997
G6,0.01408041859782605
H6,0.016403001118549643
A7,-0.04587022609100122
B7,0.030918882308642148
C7,-0.0014515708147139206
D7,-0.007838586225227151
E7,-0.0018870334069803762
F7,-0.0018870334069803762
G7,-0.01408041859782605
H7,0.007983769263141482
A8,-0.031209161862994272
B8,0.041225147571030574
C8,-0.015967452004806426
D8,0.00014518303791444254
E8,0.014515881190092506
F8,0.019306142747977484
G8,-0.04166061016329714
H8,-0.026273803788671612
A9,-0.04078968497876412
B9,0.024967329490395374
C9,0.02322547912132933
D9,0.0027580451129900485
E9,-0.001306387776799478
F9,-0.019306142747977484
G9,-0.009435340077855514
H9,0.005516090225980319
A10,-0.024967329490395374
B10,-0.03106397882507983
C10,-0.03788645682785963
D10,-0.04354764357027763
E10,0.03164462445526084
F10,0.0275801915654712
G10,-0.02395122126794802
H10,-0.016548097634987324
A11,0.03222527008544174
B11,-0.027725374603385533
C11,-0.0162578180806352
D11,0.0010161082224473539
E11,-0.06154739854145552
F11,-0.007548220149398377
G11,0.013790139043474037
H11,-0.019306142747977484
A12,-0.057482965651665885
B12,-0.02119317615495786
C12,-0.059515182096560704
D12,0.051676595871333664
E12,0.005225724150151434
F12,-0.003919249851875195
G12,-0.02540279208266194
H12,0.008854694447674616
