well,value
A1,0.1950999945402145
B1,0.2079000025987625
C1,0.1900999993085861
D1,0.1932000070810318
E1,0.1922000050544738
F1,0.1906999945640564
G1,0.2125999927520752
H1,0.2159000039100647
A2,0.1847999989986419
B2,0.1900999993085861
C2,0.193800002336502
D2,0.2066999971866607
E2,0.2009000033140182
F2,0.2037999927997589
G2,0.1898999959230423
H2,0.2037000060081482
A3,0.1990000009536743
B3,0.191100001335144
C3,0.1955000013113021
D3,0.2055000066757202
E3,0.1983000040054321
F3,0.1986999958753585
G3,0.2124000042676925
H3,0.2110999971628189
A4,0.198400005698204
B4,0.1896000057458877
C4,0.1951999962329864
D4,0.1982000023126602
E4,0.2066999971866607
F4,0.1886000037193298
G4,0.1940000057220459
H4,0.1944999992847442
A5,0.1923000067472458
B5,0.1841000020503997
C5,0.1987999975681305
D5,0.1967999935150146
E5,0.1931000053882599
F5,0.2052000015974044
G5,0.2066999971866607
H5,0.1972000002861023
A6,0.2008000016212463
B6,0.1967000067234039
C6,0.1859000027179718
D6,0.1978999972343444
E6,0.2000000029802322
F6,0.1974000036716461
G6,0.191100001335144
H6,0.193800002336502
A7,0.197500005364418
B7,0.198400005698204
C7,0.1905999928712844
D7,0.2030999958515167
E7,0.1985000073909759
F7,0.2012999951839447
G7,0.2037000060081482
H7,0.209099993109703
A8,0.1982000023126602
B8,0.1961999982595443
C8,0.1894000023603439
D8,0.198400005698204
E8,0.2078000009059906
F8,0.2028000056743621
G8,0.2057999968528747
H8,0.201100006699562
A9,0.1950999945402145
B9,0.2041999995708465
C9,0.1909999996423721
D9,0.2011999934911728
E9,0.2040999978780746
F9,0.2046000063419342
G9,0.1924999952316284
H9,0.208199992775917
A10,0.2016000002622604
B10,0.192900002002716
C10,0.1951999962329864
D10,0.2075999975204467
E10,0.1881999969482422
F10,0.1906999945640564
G10,0.2016000002622604
H10,0.1928000003099441
A11,0.1973000019788742
B11,0.1881999969482422
C11,0.2117999941110611
D11,0.1916999965906143
E11,0.1900999993085861
F11,0.1958000063896179
G11,0.1937000006437301
H11,0.2081000059843063
A12,0.1985999941825866
B12,0.19930000603199
C12,0.2079000025987625
D12,0.1987999975681305
E12,0.2034000009298324
F12,0.1949000060558319
G12,0.2003999948501587
H12,0.2114000022411346
