well,value
A1,0.1994999945163726
B1,0.2055000066757202
C1,0.1969999969005584
D1,0.1880999952554702
E1,0.2053000032901764
F1,0.1934999972581863
G1,0.2160000056028366
H1,0.2178000062704086
A2,0.201100006699562
B2,0.1928000003099441
C2,0.1958000063896179
D2,0.2125999927520752
E2,0.1973000019788742
F2,0.1895000040531158
G2,0.2041999995708465
H2,0.2014999985694885
A3,0.2022999972105026
B3,0.2055999934673309
C3,0.1987999975681305
D3,0.2138999998569488
E3,0.1956000030040741
F3,0.2016000002622604
G3,0.1941999942064285
H3,0.2123000025749206
A4,0.1951999962329864
B4,0.1890999972820282
C4,0.2022999972105026
D4,0.2029999941587448
E4,0.1986999958753585
F4,0.1981000006198883
G4,0.2005999982357025
H4,0.2091999948024749
A5,0.19930000603199
B5,0.1882999986410141
C5,0.1895000040531158
D5,0.1991000026464462
E5,0.1904000043869018
F5,0.1937000006437301
G5,0.1967000067234039
H5,0.209099993109703
A6,0.1942999958992004
B6,0.1969999969005584
C6,0.2058999985456466
D6,0.2064000070095062
E6,0.2057999968528747
F6,0.1932000070810318
G6,0.2066999971866607
H6,0.2073999941349029
A7,0.198400005698204
B7,0.1982000023126602
C7,0.198400005698204
D7,0.1873999983072281
E7,0.2000000029802322
F7,0.1924999952316284
G7,0.2087000012397766
H7,0.2087000012397766
A8,0.2025000005960464
B8,0.1986999958753585
C8,0.1956000030040741
D8,0.1993999928236007
E8,0.1972000002861023
F8,0.2093999981880188
G8,0.2090000063180923
H8,0.2061000019311905
A9,0.190200001001358
B9,0.1983000040054321
C9,0.1976999938488006
D9,0.1978999972343444
E9,0.191100001335144
F9,0.1992000043392181
G9,0.1950999945402145
H9,0.2005999982357025
A10,0.193900004029274
B10,0.1934999972581863
C10,0.2075999975204467
D10,0.202000007033348
E10,0.2056999951601028
F10,0.1886000037193298
G10,0.2014999985694885
H10,0.2004999965429306
A11,0.1996999979019165
B11,0.193900004029274
C11,0.2134999930858612
D11,0.193800002336502
E11,0.2017000019550323
F11,0.1988999992609024
G11,0.2110999971628189
H11,0.2016000002622604
A12,0.1968999952077865
B12,0.2050999999046325
C12,0.1987999975681305
D12,0.1978999972343444
E12,0.2052000015974044
F12,0.1990000009536743
G12,0.2014999985694885
H12,0.215499997138977
