,1,2,3,4,5,6,7,8,9,10,11,12
A,0.6679999828338623,0.6873000264167786,0.6934000253677368,0.6873000264167786,0.6898999810218811,0.6704999804496765,0.6572999954223633,0.6674000024795532,0.6607999801635742,0.6717000007629395,0.7110999822616577,0.6492999792098999
B,0.6789000034332275,0.6890000104904175,0.697700023651123,0.7095999717712402,0.6887999773025513,0.7080000042915344,0.7102000117301941,0.7172999978065491,0.7060999870300293,0.6675000190734863,0.6697999835014343,0.6743000149726868
C,0.6869999766349792,0.6859999895095825,0.7037000060081482,0.7107999920845032,0.6991999745368958,0.6963000297546387,0.6879000067710876,0.6779000163078308,0.7049000263214111,0.6628000140190125,0.6776999831199646,0.6478999853134155
D,0.7290999889373779,0.715499997138977,0.7084000110626221,0.7174000144004822,0.6855999827384949,0.6790000200271606,0.6834999918937683,0.6890000104904175,0.6908000111579895,0.6589000225067139,0.6895999908447266,0.7245000004768372
E,0.6797000169754028,0.701200008392334,0.71670001745224,0.699400007724762,0.6920999884605408,0.7211999893188477,0.6876000165939331,0.6988999843597412,0.6880000233650208,0.7106999754905701,0.6464999914169312,0.6924999952316284
F,0.6898000240325928,0.6771000027656555,0.7026000022888184,0.6855999827384949,0.6898999810218811,0.6782000064849854,0.6876000165939331,0.7021999955177307,0.675599992275238,0.7078999876976013,0.6837000250816345,0.6862000226974487
G,0.6730999946594238,0.7042999863624573,0.6988999843597412,0.701200008392334,0.6818000078201294,0.6985999941825867,0.6791999936103821,0.6601999998092651,0.6823999881744385,0.6723999977111816,0.6984000205993652,0.6714000105857849
H,0.7020999789237976,0.703499972820282,0.6779999732971191,0.6837000250816345,0.6915000081062317,0.7002000212669373,0.6944000124931335,0.670799970626831,0.6927000284194946,0.6775000095367432,0.675599992275238,0.6949999928474426
